city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Pineville,Mecklenburg,Friday,12,Non-Roadway,October,O: No Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.08439797,-80.87733257,Unknown Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,60-69
Charlotte,Mecklenburg,Monday,12,Non-Roadway,October,B: Suspected Minor Injury,Backing Vehicle - Driveway,Residential,O: No Injury,35.20489201,-80.68660867,B: Suspected Minor Injury,Driveway / Alley,Private Road: Driveway,One-Way: Not Divided,25-29
Pittsboro,Chatham,Wednesday,20,Non-Intersection,November,O: No Injury,Walking Along Roadway With Traffic - From Behind,Commercial,O: No Injury,35.7464368,-79.16731081,O: No Injury,Travel Lane,Local Street,Two-Way: Not Divided,0-19
Gastonia,Gaston,Tuesday,7,Non-Roadway,October,B: Suspected Minor Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.27968597,-81.14962239,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
Newton,Catawba,Wednesday,18,Non-Roadway,November,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.6923698,-81.227682,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Charlotte,Mecklenburg,Thursday,14,Non-Intersection,December,B: Suspected Minor Injury,Vehicle-Vehicle / Object,Commercial,C: Possible Injury,35.22832606,-80.93442382,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Wilmington,New Hanover,Tuesday,18,Intersection,September,C: Possible Injury,Motorist Left Turn - Parallel Paths,Residential,Unknown Injury,34.22572104,-77.94215382,C: Possible Injury,Intersection Proper,Local Street,One-Way: Not Divided,Unknown
Greensboro,Guilford,Thursday,15,Intersection-Related,October,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,36.08211916,-79.77840148,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Raleigh,Wake,Sunday,20,Non-Intersection,December,C: Possible Injury,Backing Vehicle - Driveway / Sidewalk Intersection,Commercial,O: No Injury,35.78626186,-78.64817105,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Charlotte,Mecklenburg,Sunday,16,Non-Intersection,December,C: Possible Injury,Walking Along Roadway - Direction / Position Unknown,Commercial,O: No Injury,35.22828016,-80.85521182,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Reidsville,Rockingham,Monday,12,Non-Roadway,September,O: No Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,36.35465852,-79.66486102,Unknown Injury,Non-Roadway - Parking Lot / Other,Private Road: Driveway,Two-Way: Not Divided,70+
Winston-Salem,Forsyth,Friday,16,Non-Intersection,October,B: Suspected Minor Injury,Dash,Residential,O: No Injury,36.11753781,-80.24417763,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Maiden,Catawba,Thursday,6,Non-Roadway,November,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.58803799,-81.21451664,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,50-59
Statesville,Iredell,Tuesday,18,Intersection,December,O: No Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.77509944,-80.88442876,O: No Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,30-39
None - Rural Crash,Alamance,Thursday,10,Non-Intersection,October,A: Suspected Serious Injury,Walking Along Roadway Against Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,36.23124263,-79.43602394,A: Suspected Serious Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,70+
None - Rural Crash,Buncombe,Wednesday,14,Non-Intersection,October,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,35.60265854,-82.59055471,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,70+
Cary,Wake,Tuesday,12,Non-Roadway,November,C: Possible Injury,Vehicle-Vehicle / Object,Commercial,Unknown Injury,35.79335811,-78.74941412,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Durham,Durham,Friday,17,Non-Intersection,December,C: Possible Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,36.02216066,-78.95291019,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Durham,Durham,Wednesday,14,Non-Roadway,December,C: Possible Injury,Pedestrian on Vehicle,Commercial,O: No Injury,35.92473238,-78.84465072,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Raleigh,Wake,Thursday,16,Non-Roadway,December,A: Suspected Serious Injury,Driverless Vehicle,Residential,O: No Injury,35.76445191,-78.72861892,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Local Street,Two-Way: Not Divided,Unknown
China Grove,Rowan,Thursday,6,Intersection,November,B: Suspected Minor Injury,Dash,Residential,O: No Injury,35.55719929,-80.59579769,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Mooresville,Iredell,Friday,14,Non-Roadway,December,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.593504,-80.86633906,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,60-69
Charlotte,Mecklenburg,Wednesday,9,Intersection,December,B: Suspected Minor Injury,Motorist Failed to Yield,Residential,O: No Injury,35.21518284,-80.8479917,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,40-49
Durham,Durham,Friday,9,Intersection,October,B: Suspected Minor Injury,Motorist Right Turn - Perpendicular Paths,Residential,O: No Injury,35.99032472,-78.89231875,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,40-49
None - Rural Crash,Washington,Tuesday,19,Non-Intersection,October,A: Suspected Serious Injury,Pedestrian Failed to Yield,Residential,O: No Injury,35.83360967,-76.77077508,A: Suspected Serious Injury,Travel Lane,US Route,Two-Way: Not Divided,50-59
None - Rural Crash,Chatham,Monday,17,Non-Intersection,October,C: Possible Injury,Dash,Residential,O: No Injury,35.81457525,-79.01677941,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,0-19
Monroe,Union,Monday,14,Non-Intersection,October,C: Possible Injury,Dart-Out,Commercial,O: No Injury,34.98075372,-80.54053421,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
None - Rural Crash,Wake,Tuesday,10,Non-Intersection,December,C: Possible Injury,Motor Vehicle Loss of Control,Residential,O: No Injury,35.63043061,-78.66898194,C: Possible Injury,Unpaved Right-of-Way,State Secondary Route,Two-Way: Not Divided,50-59
Gastonia,Gaston,Monday,7,Non-Intersection,October,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.24950517,-81.09774338,B: Suspected Minor Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,25-29
Durham,Durham,Wednesday,6,Intersection-Related,December,B: Suspected Minor Injury,Motorist Right Turn - Parallel Paths,Commercial,Unknown Injury,35.96159286,-78.97726445,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,Unknown
Cary,Wake,Tuesday,17,Intersection,October,O: No Injury,Motorist Exiting Driveway or Alley,Commercial,O: No Injury,35.76117574,-78.74398627,Unknown Injury,Sidewalk / Shared Use Path / Driveway Crossing,Local Street,Two-Way: Divided: Unprotected Median,60-69
None - Rural Crash,Bladen,Saturday,22,Non-Intersection,October,A: Suspected Serious Injury,Dash,Farms: Woods: Pastures,O: No Injury,34.50111164,-78.68813909,A: Suspected Serious Injury,Travel Lane,NC Route,Two-Way: Not Divided,40-49
Hillsborough,Orange,Friday,22,Non-Intersection,November,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,36.0597398,-79.10373571,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
Wilmington,New Hanover,Friday,13,Non-Roadway,December,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,34.21600982,-77.90131625,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
Durham,Durham,Thursday,15,Non-Intersection,November,C: Possible Injury,Backing Vehicle - Roadway,Residential,O: No Injury,36.03036235,-78.97679614,C: Possible Injury,Travel Lane,Private Road: Driveway,Two-Way: Not Divided,25-29
Fayetteville,Cumberland,Wednesday,22,Non-Intersection,May,B: Suspected Minor Injury,Walking in Roadway,Residential,O: No Injury,35.02897393,-78.94489991,B: Suspected Minor Injury,Travel Lane,Local Street,Unknown,40-49
Goldsboro,Wayne,Sunday,19,Intersection,October,K: Killed,Pedestrian Failed to Yield,Commercial,O: No Injury,35.39807999,-78.00520846,K: Killed,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,40-49
Fayetteville,Cumberland,Thursday,15,Intersection,July,O: No Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.04401203,-78.94176504,O: No Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,0-19
Fayetteville,Cumberland,Tuesday,12,Intersection-Related,October,A: Suspected Serious Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.07895652,-78.95692836,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,25-29
Greensboro,Guilford,Thursday,3,Intersection,January,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Commercial,Unknown Injury,36.07711547,-79.75484799,C: Possible Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,Unknown
Fayetteville,Cumberland,Tuesday,22,Non-Intersection,September,K: Killed,Pedestrian Failed to Yield,Commercial,C: Possible Injury,35.0977276,-79.01120139,K: Killed,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Charlotte,Mecklenburg,Tuesday,18,Intersection-Related,January,C: Possible Injury,Motorist Right Turn - Perpendicular Paths,Commercial,O: No Injury,35.20459697,-80.72003735,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,30-39
Charlotte,Mecklenburg,Friday,12,Non-Intersection,November,C: Possible Injury,Motorist Exiting Driveway or Alley,Commercial,Unknown Injury,35.16922291,-80.85066517,C: Possible Injury,Sidewalk / Shared Use Path / Driveway Crossing,Public Vehicular Area,One-Way: Not Divided,Unknown
Charlotte,Mecklenburg,Wednesday,10,Intersection,January,C: Possible Injury,Walking Along Roadway Against Traffic - From Front,Commercial,Unknown Injury,35.18861915,-80.87573669,C: Possible Injury,Unpaved Right-of-Way,Local Street,Two-Way: Divided: Positive Median Barrier,Unknown
None - Rural Crash,Rutherford,Tuesday,13,Intersection,January,C: Possible Injury,Working in Roadway,Residential,O: No Injury,35.32338486,-81.93509618,C: Possible Injury,Travel Lane,US Route,Two-Way: Not Divided,40-49
Kitty Hawk,Dare,Wednesday,17,Non-Intersection,October,C: Possible Injury,Backing Vehicle - Roadway,Residential,O: No Injury,36.0593023,-75.73759897,C: Possible Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,40-49
Raleigh,Wake,Friday,12,Non-Roadway,January,O: No Injury,Dispute-Related,Commercial,O: No Injury,35.86186574,-78.59919054,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,60-69
Marion,Mcdowell,Saturday,9,Intersection,January,C: Possible Injury,Dash,Commercial,Unknown Injury,35.68851384,-81.99185381,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
None - Rural Crash,Wayne,Sunday,17,Non-Intersection,November,B: Suspected Minor Injury,Vehicle-Vehicle / Object,Residential,O: No Injury,35.33919266,-78.04186734,B: Suspected Minor Injury,Other / Unknown,State Secondary Route,Two-Way: Not Divided,25-29
Fayetteville,Cumberland,Friday,11,Non-Roadway,October,O: No Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.04336507,-78.95885982,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,60-69
Winston-Salem,Forsyth,Monday,20,Non-Intersection,January,A: Suspected Serious Injury,Dash,Residential,O: No Injury,36.0758973,-80.20613217,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Winston-Salem,Forsyth,Wednesday,23,Non-Roadway,January,B: Suspected Minor Injury,Dispute-Related,Commercial,O: No Injury,36.18800434,-80.26807955,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,25-29
Rocky Mount,Nash,Friday,1,Non-Intersection,January,A: Suspected Serious Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.98519553,-77.78438935,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,20-24
Durham,Durham,Sunday,18,Non-Intersection,December,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.96221766,-78.90866243,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Charlotte,Mecklenburg,Monday,5,Non-Intersection,January,K: Killed,Walking in Roadway,Commercial,C: Possible Injury,35.21898046,-80.78069773,K: Killed,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,25-29
Fletcher,Henderson,Sunday,10,Non-Roadway,November,C: Possible Injury,Off Roadway - Other / Unknown,Residential,O: No Injury,35.44036019,-82.52132014,C: Possible Injury,Driveway / Alley,Local Street,Two-Way: Not Divided,0-19
Charlotte,Mecklenburg,Thursday,12,Non-Roadway,January,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.11131793,-80.88300887,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Charlotte,Mecklenburg,Friday,17,Non-Intersection,January,K: Killed,Crossing an Expressway,Farms: Woods: Pastures,O: No Injury,35.28018671,-80.78865059,K: Killed,Travel Lane,Interstate,One-Way: Not Divided,40-49
Charlotte,Mecklenburg,Tuesday,8,Intersection,January,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.20249661,-80.73069306,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,70+
Charlotte,Mecklenburg,Tuesday,3,Intersection-Related,July,Unknown Injury,Dispute-Related,Commercial,Unknown Injury,35.2574241,-80.87697043,Unknown Injury,Travel Lane,Local Street,One-Way: Not Divided,40-49
None - Rural Crash,Wake,Saturday,18,Non-Intersection,January,K: Killed,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,35.84251545,-78.40469553,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,0-19
Sunset Beach,Brunswick,Tuesday,15,Intersection,November,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,33.89682707,-78.48724631,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,70+
Charlotte,Mecklenburg,Sunday,13,Intersection,February,C: Possible Injury,Motorist Right Turn - Perpendicular Paths,Residential,O: No Injury,35.3164221,-80.78107566,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,25-29
None - Rural Crash,Lenoir,Wednesday,18,Non-Intersection,December,A: Suspected Serious Injury,Walking Along Roadway With Traffic - From Behind,Commercial,Unknown Injury,35.26011365,-77.70676224,A: Suspected Serious Injury,Paved Shoulder / Bike Lane / Parking Lane,US Route,Two-Way: Divided: Unprotected Median,Unknown
Winston-Salem,Forsyth,Saturday,22,Non-Roadway,February,C: Possible Injury,Dispute-Related,Residential,O: No Injury,36.14457876,-80.30151913,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
None - Rural Crash,Macon,Thursday,20,Non-Intersection,February,B: Suspected Minor Injury,Dart-Out,Residential,O: No Injury,35.16957271,-83.40880111,B: Suspected Minor Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,60-69
Raleigh,Wake,Wednesday,8,Non-Roadway,January,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.79582719,-78.56770193,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
Raleigh,Wake,Friday,7,Intersection,February,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.81663601,-78.59885136,C: Possible Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,40-49
Morganton,Burke,Tuesday,5,Intersection,November,O: No Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.71857417,-81.69412947,O: No Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Rocky Mount,Nash,Saturday,17,Non-Roadway,February,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.96041122,-77.82423389,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,40-49
None - Rural Crash,Guilford,Wednesday,18,Non-Intersection,December,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,36.08640789,-79.63961874,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,25-29
Greensboro,Guilford,Wednesday,13,Non-Intersection,December,A: Suspected Serious Injury,Motor Vehicle Loss of Control,Residential,O: No Injury,36.08090448,-79.90287109,A: Suspected Serious Injury,Other / Unknown,Private Road: Driveway,Two-Way: Not Divided,0-19
Boone,Watauga,Sunday,0,Intersection,February,A: Suspected Serious Injury,Walking in Roadway,Commercial,O: No Injury,36.2067778,-81.67133062,A: Suspected Serious Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,20-24
None - Rural Crash,Johnston,Thursday,23,Non-Intersection,December,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,35.50092117,-78.41203503,C: Possible Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,60-69
None - Rural Crash,Brunswick,Wednesday,17,Non-Roadway,December,O: No Injury,Vehicle-Vehicle / Object,Commercial,Unknown Injury,33.91172013,-78.10403081,O: No Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Greenville,Pitt,Saturday,19,Non-Intersection,December,C: Possible Injury,Pedestrian Failed to Yield,Residential,O: No Injury,35.55922541,-77.36553572,C: Possible Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,30-39
None - Rural Crash,Iredell,Friday,6,Non-Roadway,February,A: Suspected Serious Injury,Backing Vehicle - Other / Unknown,Residential,O: No Injury,35.78939885,-80.8004057,A: Suspected Serious Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,30-39
Kinston,Lenoir,Friday,17,Non-Intersection,January,C: Possible Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.28501777,-77.59004387,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,40-49
Garner,Wake,Friday,14,Non-Roadway,February,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.71241464,-78.62116225,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,30-39
None - Rural Crash,Burke,Friday,17,Non-Intersection,January,C: Possible Injury,Vehicle-Vehicle / Object,Farms: Woods: Pastures,C: Possible Injury,35.78656608,-81.75776222,O: No Injury,Other / Unknown,NC Route,Two-Way: Not Divided,50-59
Stallings,Union,Thursday,16,Non-Roadway,February,A: Suspected Serious Injury,Motor Vehicle Loss of Control,Residential,O: No Injury,35.11041402,-80.65719935,A: Suspected Serious Injury,Driveway / Alley,Public Vehicular Area,Two-Way: Not Divided,0-19
None - Rural Crash,Catawba,Tuesday,18,Non-Intersection,February,K: Killed,Walking Along Roadway Against Traffic - From Front,Commercial,O: No Injury,35.75902275,-81.27204653,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,70+
None - Rural Crash,Caswell,Sunday,20,Non-Roadway,January,B: Suspected Minor Injury,Off Roadway - Parking Lot,Residential,O: No Injury,36.49210984,-79.45761325,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,50-59
Charlotte,Mecklenburg,Saturday,12,Non-Roadway,March,B: Suspected Minor Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.22522954,-80.83733031,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,20-24
Davidson,Mecklenburg,Tuesday,14,Non-Intersection,January,B: Suspected Minor Injury,Mailbox-Related,Residential,O: No Injury,35.50583561,-80.84485185,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Not Divided,50-59
Asheville,Buncombe,Saturday,22,Intersection,February,C: Possible Injury,Motorist Failed to Yield,Commercial,Unknown Injury,35.59486046,-82.55176633,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Divided: Unprotected Median,Unknown
Lumberton,Robeson,Saturday,18,Intersection-Related,December,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,34.62087379,-78.98126278,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Durham,Durham,Monday,16,Non-Roadway,March,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.02874112,-78.84270905,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
Mount Olive,Wayne,Friday,18,Non-Intersection,January,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.20208002,-78.06540518,B: Suspected Minor Injury,Travel Lane,US Route,Two-Way: Not Divided,50-59
Dallas,Gaston,Monday,17,Non-Intersection,December,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,35.31575072,-81.17586711,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
None - Rural Crash,Harnett,Thursday,6,Non-Intersection,March,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,35.34868105,-78.61290963,C: Possible Injury,Unpaved Right-of-Way,State Secondary Route,Two-Way: Not Divided,40-49
Raleigh,Wake,Saturday,10,Non-Intersection,March,C: Possible Injury,Disabled Vehicle-Related,Commercial,Unknown Injury,35.77162473,-78.72099608,C: Possible Injury,Paved Shoulder / Bike Lane / Parking Lane,Interstate,Two-Way: Divided: Positive Median Barrier,Unknown
Wilmington,New Hanover,Monday,2,Non-Intersection,March,A: Suspected Serious Injury,Standing in Roadway,Residential,O: No Injury,34.23492746,-77.92735464,A: Suspected Serious Injury,Travel Lane,Local Street,One-Way: Not Divided,40-49
None - Rural Crash,Robeson,Monday,22,Non-Intersection,January,A: Suspected Serious Injury,Walking Along Roadway With Traffic - From Front,Farms: Woods: Pastures,O: No Injury,34.81132342,-79.29301228,A: Suspected Serious Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,20-24
Charlotte,Mecklenburg,Wednesday,19,Non-Intersection,February,B: Suspected Minor Injury,Motorist Right Turn - Parallel Paths,Commercial,Unknown Injury,35.16987798,-80.85317719,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Raleigh,Wake,Tuesday,17,Non-Roadway,March,B: Suspected Minor Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.8021393,-78.68633982,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,20-24
Fayetteville,Cumberland,Sunday,2,Intersection,January,Unknown Injury,Motorist Right Turn - Parallel Paths,Commercial,Unknown Injury,35.05377367,-78.86715538,Unknown Injury,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,Unknown
Clayton,Johnston,Tuesday,16,Intersection,February,O: No Injury,Motorist Turn / Merge - Other / Unknown,Commercial,O: No Injury,35.65308416,-78.45788656,O: No Injury,Travel Lane,Local Street,Two-Way: Not Divided,60-69
Chapel Hill,Orange,Sunday,20,Intersection,January,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.9142599,-79.05278573,C: Possible Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,0-19
Davidson,Mecklenburg,Tuesday,8,Intersection,February,B: Suspected Minor Injury,Playing in Roadway,Residential,O: No Injury,35.50573537,-80.85258947,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Winston-Salem,Forsyth,Wednesday,19,Non-Intersection,January,K: Killed,Pedestrian Failed to Yield,Residential,O: No Injury,36.10842723,-80.25292899,K: Killed,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,0-19
Goldsboro,Wayne,Tuesday,16,Non-Roadway,January,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.38635854,-77.94689994,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,60-69
Charlotte,Mecklenburg,Thursday,8,Intersection,February,C: Possible Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.21548152,-80.83292606,C: Possible Injury,Crosswalk Area,Local Street,One-Way: Not Divided,40-49
Durham,Durham,Thursday,20,Non-Intersection,March,O: No Injury,Playing in Roadway,Residential,O: No Injury,36.05151777,-78.83742376,O: No Injury,Travel Lane,Local Street,Two-Way: Not Divided,50-59
None - Rural Crash,Columbus,Thursday,7,Non-Roadway,February,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,34.23918539,-78.67510181,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,60-69
None - Rural Crash,Haywood,Monday,21,Intersection-Related,April,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Farms: Woods: Pastures,O: No Injury,35.52678078,-83.02875849,B: Suspected Minor Injury,Travel Lane,US Route,Two-Way: Divided: Unprotected Median,20-24
Greensboro,Guilford,Sunday,2,Non-Intersection,April,B: Suspected Minor Injury,Motor Vehicle Loss of Control,Commercial,O: No Injury,36.06855715,-79.79101908,B: Suspected Minor Injury,Other / Unknown,Local Street,Two-Way: Not Divided,25-29
None - Rural Crash,Rockingham,Friday,17,Intersection,February,A: Suspected Serious Injury,Vehicle-Vehicle / Object,Farms: Woods: Pastures,C: Possible Injury,36.39354104,-79.95103846,A: Suspected Serious Injury,Travel Lane,State Secondary Route,Two-Way: Not Divided,40-49
High Point,Guilford,Tuesday,17,Non-Roadway,April,C: Possible Injury,Play Vehicle-Related,Residential,O: No Injury,35.96390663,-79.97861968,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Unknown,20-24
None - Rural Crash,Pender,Thursday,16,Non-Roadway,April,B: Suspected Minor Injury,Off Roadway - Parking Lot,Institutional,O: No Injury,34.39496501,-77.68129715,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,0-19
None - Rural Crash,Richmond,Thursday,18,Non-Intersection,February,K: Killed,Walking Along Roadway Against Traffic - From Front,Residential,O: No Injury,34.87423524,-79.74168594,K: Killed,Travel Lane,State Secondary Route,Two-Way: Not Divided,40-49
Winston-Salem,Forsyth,Wednesday,15,Non-Intersection,April,B: Suspected Minor Injury,Pedestrian Failed to Yield,Commercial,O: No Injury,36.07780509,-80.3002425,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Divided: Unprotected Median,70+
