city,county,crashday,crashhour,crashloc,crashmonth,crashsevr,crashtype,development,drvrinjury,latitude,longitude,pedinjury,pedpos,rdclass,rdconfig,drvragegrp
Asheville,Buncombe,Friday,10,Intersection,May,B: Suspected Minor Injury,Motorist Left Turn - Parallel Paths,Commercial,O: No Injury,35.59543241,-82.55193312,B: Suspected Minor Injury,Crosswalk Area,Local Street,Two-Way: Not Divided,25-29
Charlotte,Mecklenburg,Monday,7,Non-Intersection,May,C: Possible Injury,Multiple Threat,Commercial,O: No Injury,35.22417209,-80.72544095,C: Possible Injury,Travel Lane,Local Street,Two-Way: Divided: Positive Median Barrier,40-49
Durham,Durham,Tuesday,11,Non-Roadway,May,C: Possible Injury,Off Roadway - Parking Lot,Residential,O: No Injury,36.03208251,-78.93615234,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,70+
Greensboro,Guilford,Thursday,15,Non-Roadway,May,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,36.08906283,-79.77484589,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,One-Way: Not Divided,40-49
New Bern,Craven,Tuesday,1,Intersection-Related,March,B: Suspected Minor Injury,Walking Along Roadway Against Traffic - From Front,Commercial,Unknown Injury,35.1066345,-77.0520274,B: Suspected Minor Injury,Paved Shoulder / Bike Lane / Parking Lane,Local Street,Two-Way: Not Divided,Unknown
Asheville,Buncombe,Friday,12,Non-Intersection,May,B: Suspected Minor Injury,Dispute-Related,Commercial,O: No Injury,35.57811775,-82.51293211,B: Suspected Minor Injury,Travel Lane,NC Route,Two-Way: Not Divided,40-49
Fremont,Wayne,Wednesday,21,Intersection,May,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.54104036,-77.97860596,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,20-24
None - Rural Crash,Rowan,Sunday,1,Non-Intersection,April,B: Suspected Minor Injury,Walking Along Roadway Against Traffic - From Front,Farms: Woods: Pastures,O: No Injury,35.60180584,-80.52860798,B: Suspected Minor Injury,Travel Lane,Interstate,Two-Way: Divided: Positive Median Barrier,0-19
None - Rural Crash,Jackson,Saturday,14,Non-Roadway,June,C: Possible Injury,Off Roadway - Parking Lot,Commercial,O: No Injury,35.46901179,-83.2971388,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Durham,Durham,Monday,0,Non-Intersection,June,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Commercial,Unknown Injury,36.06954106,-78.90802108,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Wilmington,New Hanover,Wednesday,17,Intersection,March,B: Suspected Minor Injury,Backing Vehicle - Roadway,Residential,Unknown Injury,34.24396729,-77.90544272,B: Suspected Minor Injury,Travel Lane,Local Street,Two-Way: Not Divided,Unknown
Lenoir,Caldwell,Wednesday,16,Non-Intersection,May,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Residential,Unknown Injury,35.90937246,-81.55212472,C: Possible Injury,Sidewalk / Shared Use Path / Driveway Crossing,Local Street,Two-Way: Not Divided,Unknown
Jacksonville,Onslow,Monday,16,Non-Roadway,April,B: Suspected Minor Injury,Pedestrian on Vehicle,Commercial,Unknown Injury,34.76137617,-77.40027247,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Wilmington,New Hanover,Saturday,21,Non-Intersection,June,K: Killed,Pedestrian Failed to Yield,Commercial,O: No Injury,34.20874756,-77.85194887,K: Killed,Travel Lane,Local Street,Two-Way: Not Divided,50-59
Sparta,Alleghany,Friday,19,Non-Roadway,March,B: Suspected Minor Injury,Backing Vehicle - Parking Lot,Residential,Unknown Injury,36.50781633,-81.11951969,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
Kernersville,Forsyth,Thursday,23,Non-Roadway,May,C: Possible Injury,Backing Vehicle - Driveway,Residential,O: No Injury,36.10881994,-80.0773037,C: Possible Injury,Driveway / Alley,Local Street,One-Way: Not Divided,25-29
Charlotte,Mecklenburg,Friday,19,Non-Intersection,June,C: Possible Injury,Playing in Roadway,Residential,O: No Injury,35.16164134,-80.95403482,C: Possible Injury,Travel Lane,Local Street,Two-Way: Not Divided,30-39
Lillington,Harnett,Saturday,22,Non-Intersection,April,B: Suspected Minor Injury,Walking Along Roadway With Traffic - From Behind,Residential,O: No Injury,35.39476107,-78.83730747,B: Suspected Minor Injury,Unpaved Right-of-Way,Local Street,Two-Way: Not Divided,40-49
Gastonia,Gaston,Tuesday,19,Non-Roadway,June,C: Possible Injury,Backing Vehicle - Parking Lot,Commercial,O: No Injury,35.26267056,-81.15334779,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,70+
Jacksonville,Onslow,Saturday,21,Non-Roadway,June,B: Suspected Minor Injury,Off Roadway - Parking Lot,Residential,O: No Injury,34.79942891,-77.4271279,B: Suspected Minor Injury,Non-Roadway - Parking Lot / Other,Local Street,One-Way: Not Divided,0-19
Eden,Rockingham,Tuesday,20,Non-Intersection,June,B: Suspected Minor Injury,Dispute-Related,Residential,O: No Injury,36.51087297,-79.75773025,B: Suspected Minor Injury,Travel Lane,Local Street,One-Way: Not Divided,25-29
Concord,Cabarrus,Sunday,20,Non-Intersection,April,O: No Injury,Vehicle-Vehicle / Object,Commercial,O: No Injury,35.35081751,-80.62065935,Unknown Injury,Travel Lane,Local Street,Two-Way: Not Divided,25-29
Matthews,Mecklenburg,Tuesday,15,Non-Roadway,May,C: Possible Injury,Off Roadway - Parking Lot,Commercial,Unknown Injury,35.13362595,-80.73535361,C: Possible Injury,Non-Roadway - Parking Lot / Other,Public Vehicular Area,Two-Way: Not Divided,Unknown
